#Intensity    Theta angle    Phi angle
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
0    0    0
