#Coeficients for multipole expansion A_lm
#Calculated using Holo_Multipol
#Using 50 coefficients
#l    m    A_lm
0 0 (1,0)
2 0 (0.38151,0)
2 1 (-0.0132918,-0.0278365)
2 2 (0.00317809,-0.000486047)
4 0 (-0.204885,0)
4 1 (0.0100539,0.00395588)
4 2 (0.00149524,-0.00235324)
4 3 (0.000317439,-0.00845354)
4 4 (-0.000136372,0.000582786)
6 0 (0.124998,0)
6 1 (-0.0107982,-0.00752855)
6 2 (-0.000593201,-0.00109648)
6 3 (-0.00196266,-0.000538656)
6 4 (9.80227e-05,0.000520899)
6 5 (0.000433422,0.00017701)
6 6 (-0.00137178,-0.00174018)
8 0 (-0.0803602,0)
8 1 (0.00192142,0.00109948)
8 2 (0.00206707,0.00105258)
8 3 (0.00215289,0.00354784)
8 4 (-0.000380275,-0.000290583)
8 5 (-0.00014323,-0.000722277)
8 6 (0.00173443,-0.000376769)
8 7 (-0.000261496,0.000549996)
8 8 (7.85431e-05,0.000166945)
10 0 (0.062596,0)
10 1 (-0.000999508,-0.00295155)
10 2 (-0.000581143,-0.0011008)
10 3 (-0.00178848,-0.00197516)
10 4 (0.000284204,0.000267034)
10 5 (0.000209102,-0.000197418)
10 6 (-0.000311604,-0.000126187)
10 7 (0.000217327,0.000168535)
10 8 (-1.22432e-05,-1.33116e-05)
10 9 (0.00011417,-0.00237588)
10 10 (-2.46078e-05,9.49122e-05)
12 0 (-0.0357012,0)
12 1 (-0.00198786,-0.00135317)
12 2 (0.000601522,0.000319089)
12 3 (0.000872733,-0.00331995)
12 4 (-0.000299688,6.84532e-06)
12 5 (-0.00074979,0.000651506)
12 6 (-0.00889792,-0.0024705)
12 7 (0.000387427,0.00096659)
12 8 (-6.83975e-05,-0.000167279)
12 9 (0.000971436,-0.00251562)
12 10 (-0.000115117,8.3295e-05)
12 11 (0.000240086,-0.00010694)
12 12 (-0.000899127,-0.000439778)
14 0 (0.0194914,0)
14 1 (0.00142669,0.00150113)
14 2 (-0.000899389,-0.000751954)
14 3 (0.00282566,-0.00887391)
14 4 (-0.00179292,0.000248825)
14 5 (-0.000367223,0.000232307)
14 6 (-0.00476159,-0.00126965)
14 7 (0.000197548,0.000762884)
14 8 (-0.000254993,-0.000118431)
14 9 (0.00252907,-0.00697601)
14 10 (-0.000639189,7.95604e-05)
14 11 (-0.000158692,0.000234489)
14 12 (-0.00144908,-0.00145911)
14 13 (-0.000198757,4.68012e-05)
14 14 (-0.000103673,-0.000142428)
16 0 (-0.02562,0)
16 1 (-0.00165963,-0.0014361)
16 2 (-0.0010518,-0.00140075)
16 3 (0.000130878,-0.00217707)
16 4 (-9.34724e-05,0.000565277)
16 5 (-0.00025812,0.000654983)
16 6 (-0.00601965,-0.00324713)
16 7 (-0.000107215,0.000931915)
16 8 (-0.00102233,-0.000930792)
16 9 (0.00333985,-0.00947595)
16 10 (-0.000962619,0.000189826)
16 11 (0.000229417,-0.000298529)
16 12 (0.00158329,0.000188323)
16 13 (0.000110296,-9.63822e-05)
16 14 (0.000134694,-6.56118e-05)
16 15 (-0.00197623,0.00238766)
16 16 (0.000162394,0.000142852)
18 0 (0.0233795,0)
18 1 (0.000538419,-0.000256668)
18 2 (0.000855935,0.000895846)
18 3 (0.000874771,0.002034)
18 4 (-3.77378e-05,7.21843e-05)
18 5 (-0.000378919,0.000604852)
18 6 (-0.00159479,-0.000552385)
18 7 (-0.000121081,0.000149343)
18 8 (-0.000408118,-0.000410504)
18 9 (-0.00013939,0.000164794)
18 10 (0.000261563,0.000143182)
18 11 (0.000304049,-0.000306657)
18 12 (-0.000608993,-0.000603055)
18 13 (0.000120869,0.000433479)
18 14 (0.000258921,0.000463584)
18 15 (-0.000556073,1.14973e-05)
18 16 (5.60517e-06,0.000213273)
18 17 (0.000143835,7.53522e-05)
18 18 (-0.000941402,-0.000654013)
20 0 (0.000114784,0)
20 1 (-0.00216223,-0.00464451)
20 2 (-0.000447999,-0.000257161)
20 3 (-0.000492645,0.00203643)
20 4 (0.000346643,-4.41413e-05)
20 5 (0.000764023,-0.00121665)
20 6 (0.00753318,0.00225418)
20 7 (0.000219553,-0.00144478)
20 8 (0.000805513,0.000741764)
20 9 (-0.00258087,0.00650005)
20 10 (0.00108125,0.000254494)
20 11 (-0.000287312,0.000395742)
20 12 (-0.00383915,-0.00256049)
20 13 (-0.000283996,0.0006671)
20 14 (-0.000550052,-0.000523004)
20 15 (0.00573594,-0.00722804)
20 16 (-0.000679429,-0.00041537)
20 17 (-5.32864e-05,0.000386333)
20 18 (-0.00305798,-0.00250978)
20 19 (-0.000109859,0.0002019)
20 20 (6.04452e-05,-8.47084e-05)
22 0 (0.00745706,0)
22 1 (0.00110235,0.000132963)
22 2 (0.00165674,0.00105481)
22 3 (-0.000549419,0.00613308)
22 4 (0.00119741,-0.000324018)
22 5 (0.000429097,-0.000938781)
22 6 (0.00334344,0.0019674)
22 7 (0.00021104,-0.000757482)
22 8 (0.000622132,0.000652319)
22 9 (-0.000942357,0.00302965)
22 10 (0.000366638,5.28425e-05)
22 11 (-0.000128605,-3.28201e-05)
22 12 (0.00191127,0.000789819)
22 13 (-0.000237866,-0.000438854)
22 14 (-0.000375572,-0.000905194)
22 15 (0.0026216,-0.00246825)
22 16 (-8.5217e-05,-0.000221788)
22 17 (-3.6263e-06,0.000126265)
22 18 (-0.00293294,-0.00268193)
22 19 (-0.000161776,0.000324602)
22 20 (0.000108482,1.92391e-05)
22 21 (-0.00100593,0.00031477)
22 22 (-6.66611e-05,0.000155877)
24 0 (-0.00287675,0)
24 1 (-0.00168235,-0.0016448)
24 2 (0.00109907,0.000258932)
24 3 (-0.000871462,0.00440257)
24 4 (0.00111037,-5.56329e-05)
24 5 (0.000193297,-0.000262568)
24 6 (0.00022938,0.00105661)
24 7 (8.10151e-05,8.49518e-06)
24 8 (-0.000102689,9.78009e-05)
24 9 (0.000444139,-0.00119925)
24 10 (-0.000359324,-0.000355587)
24 11 (0.000592803,-0.000773237)
24 12 (0.00481768,0.00227397)
24 13 (0.000164962,-0.000997634)
24 14 (0.000258101,0.000471526)
24 15 (-0.00208526,0.00307466)
24 16 (0.000506267,0.000435511)
24 17 (4.91531e-05,5.45985e-05)
24 18 (-0.000559078,-0.00064297)
24 19 (-0.000152114,-1.28345e-05)
24 20 (-0.000225231,-0.000117597)
24 21 (0.00151119,-0.0015754)
24 22 (-0.000246326,7.54073e-05)
24 23 (-4.28381e-05,6.5355e-05)
24 24 (-1.01769e-05,-0.000138849)
26 0 (-0.00490184,0)
26 1 (0.00115551,0.000998572)
26 2 (0.00106894,0.000441883)
26 3 (-0.000568327,0.00461548)
26 4 (0.00112798,-1.44525e-05)
26 5 (-0.000806934,0.000409383)
26 6 (-0.00398698,-0.00137972)
26 7 (-0.000202361,0.000963039)
26 8 (-0.00029623,-0.000265597)
26 9 (0.0007061,-0.00148994)
26 10 (-0.00033769,-0.000211181)
26 11 (0.000291143,-0.000115278)
26 12 (-0.000338301,0.000403)
26 13 (8.6137e-05,0.000171803)
26 14 (0.000116141,0.000339844)
26 15 (-0.000220303,-0.000116346)
26 16 (-0.00015557,1.56421e-05)
26 17 (-2.96509e-05,9.11328e-05)
26 18 (0.00129078,0.000937744)
26 19 (2.54016e-05,-0.000323511)
26 20 (-0.000239583,-0.000636706)
26 21 (0.0028732,-0.00191901)
26 22 (-0.000169777,-0.000266085)
26 23 (3.64559e-05,-9.61446e-06)
26 24 (-0.000102341,-0.00026953)
26 25 (3.14505e-05,1.67592e-05)
26 26 (5.19484e-05,-2.12819e-05)
28 0 (0.00647797,0)
28 1 (-0.00103738,-0.00162139)
28 2 (0.00127141,0.000393093)
28 3 (-0.000930579,0.00363339)
28 4 (0.00103399,0.000116487)
28 5 (-0.00121389,0.00118223)
28 6 (-0.00517329,-0.00224873)
28 7 (-0.000203871,0.00127662)
28 8 (0.000124682,-5.34125e-06)
28 9 (-0.000174072,0.000380954)
28 10 (0.000197458,0.000139692)
28 11 (-0.000545248,0.000632877)
28 12 (-0.00313831,-0.00112636)
28 13 (-0.000172686,0.000686864)
28 14 (-2.89957e-05,-2.3594e-05)
28 15 (-1.71321e-05,-0.000129058)
28 16 (-8.25541e-05,-0.000161589)
28 17 (0.000222855,-0.000193611)
28 18 (0.00123705,0.00161621)
28 19 (0.000179666,-0.000287192)
28 20 (0.000217884,-2.76552e-05)
28 21 (-0.00029847,0.000571249)
28 22 (0.000128642,3.29633e-05)
28 23 (0.00018053,-0.000118647)
28 24 (0.000177087,0.000443534)
28 25 (3.24035e-05,-5.03129e-05)
28 26 (5.45359e-05,5.97875e-05)
28 27 (-0.000455368,1.1422e-05)
28 28 (-3.76281e-05,3.03765e-06)
30 0 (-0.0109329,0)
30 1 (0.000461818,0.000237594)
30 2 (0.000553833,0.000229424)
30 3 (-0.000237022,0.00154092)
30 4 (0.000511183,9.54271e-05)
30 5 (-0.000863943,0.00074052)
30 6 (-0.00287777,-0.00136187)
30 7 (0.000109088,0.000862054)
30 8 (0.000261226,7.83551e-05)
30 9 (-0.000576812,0.000845021)
30 10 (0.000228289,-4.17097e-06)
30 11 (0.000130515,5.8338e-07)
30 12 (0.000406504,0.000527838)
30 13 (0.000106323,-0.000237331)
30 14 (-5.71029e-05,2.40385e-05)
30 15 (-0.000188382,0.000647685)
30 16 (0.000303464,-4.97325e-05)
30 17 (0.000334792,-7.92693e-05)
30 18 (-1.65514e-05,0.00113395)
30 19 (0.000162451,4.17277e-05)
30 20 (9.89903e-05,0.000388575)
30 21 (-0.000705926,0.000770622)
30 22 (6.06676e-05,0.000103979)
30 23 (0.000177522,-7.13081e-05)
30 24 (0.000737399,0.00122565)
30 25 (7.90606e-05,-5.83909e-05)
30 26 (-4.95665e-05,8.76115e-05)
30 27 (0.000359964,-0.000117981)
30 28 (-7.51909e-05,-3.75961e-05)
30 29 (-6.76417e-05,6.775e-05)
30 30 (-1.89838e-05,-8.40101e-05)
32 0 (0.0122649,0)
32 1 (-0.000831665,-0.00061084)
32 2 (-0.00031124,0.000112295)
32 3 (0.00023342,-0.00235325)
32 4 (-0.000766105,6.82206e-05)
32 5 (-0.000139299,0.000498305)
32 6 (-0.000135483,-2.36911e-05)
32 7 (0.000195094,3.8057e-05)
32 8 (9.89125e-05,-7.25872e-06)
32 9 (-0.000410315,0.000329958)
32 10 (7.65267e-05,-6.2951e-05)
32 11 (0.000160966,-0.000240286)
32 12 (0.000803437,0.00046992)
32 13 (-4.91783e-06,-0.000252159)
32 14 (-6.64709e-05,-0.000102195)
32 15 (5.67366e-05,-0.000374714)
32 16 (-8.34713e-05,4.26085e-05)
32 17 (-0.000191786,0.000281202)
32 18 (-0.0015012,-0.000955337)
32 19 (-0.000149655,0.000463055)
32 20 (-7.58581e-05,1.65661e-06)
32 21 (0.00042637,-0.00023437)
32 22 (-9.99472e-05,-3.59812e-05)
32 23 (0.000102372,-3.98931e-05)
32 24 (0.000354906,0.000573067)
32 25 (8.16563e-05,5.0437e-05)
32 26 (-1.58659e-05,-4.64272e-05)
32 27 (0.000867342,-7.77439e-05)
32 28 (4.22712e-05,-0.000131812)
32 29 (2.92491e-05,1.96663e-05)
32 30 (2.26614e-06,0.000112734)
32 31 (-1.87899e-05,1.22294e-05)
32 32 (1.45488e-05,1.47023e-05)
34 0 (-0.0158333,0)
34 1 (-1.85344e-05,0.000262739)
34 2 (-0.00142998,-0.000966173)
34 3 (0.000512415,-0.00372005)
34 4 (-0.00130253,9.47391e-05)
34 5 (0.000428801,-0.000183464)
34 6 (0.00134915,0.000330042)
34 7 (8.774e-05,-0.00030922)
34 8 (-0.000378983,-0.000264204)
34 9 (0.000378658,-0.00124023)
34 10 (-0.000457302,4.78724e-05)
34 11 (-0.000265916,0.000134821)
34 12 (-0.00106834,-0.000747064)
34 13 (-0.000125109,0.000283338)
34 14 (3.47054e-05,-3.44557e-05)
34 15 (0.000320317,-0.000516989)
34 16 (-0.000155498,7.98261e-05)
34 17 (-0.000539445,0.00014355)
34 18 (-0.000778555,-0.00134808)
34 19 (-0.00025009,0.000185217)
34 20 (9.48475e-05,-2.6176e-05)
34 21 (-0.000174432,0.000101513)
34 22 (0.000128325,-1.37864e-05)
34 23 (-9.43683e-06,-1.7154e-05)
34 24 (-0.000240563,-0.000315065)
34 25 (1.29619e-05,0.000157982)
34 26 (-5.77017e-05,6.6367e-05)
34 27 (-3.43134e-05,7.33749e-05)
34 28 (0.000120688,-3.42095e-05)
34 29 (9.53254e-05,2.9854e-05)
34 30 (7.75848e-06,0.000464158)
34 31 (7.24232e-06,3.06231e-05)
34 32 (3.74324e-05,5.69848e-05)
34 33 (-0.000141345,-5.15381e-05)
34 34 (-2.54674e-05,-3.8269e-06)
36 0 (0.0114744,0)
36 1 (-0.000202918,7.63074e-05)
36 2 (0.000247604,0.000129886)
36 3 (-0.000167735,-0.000460542)
36 4 (-0.000331443,-9.77715e-05)
36 5 (0.000280797,-0.000228311)
36 6 (0.00083854,0.00049553)
36 7 (6.36981e-05,-0.000304189)
36 8 (-0.000467308,-0.000337335)
36 9 (0.000654605,-0.0012915)
36 10 (-0.000492759,3.7146e-05)
36 11 (-7.18581e-05,0.000161578)
36 12 (-0.000317159,-0.00015948)
36 13 (-8.76875e-05,0.0001655)
36 14 (6.92152e-05,-0.000102755)
36 15 (0.000189084,-4.59213e-05)
36 16 (-5.52987e-05,-3.80666e-05)
36 17 (-3.99317e-05,-0.000172126)
36 18 (0.000415681,-0.000128833)
36 19 (1.18199e-05,-0.000163873)
36 20 (9.06526e-05,-6.38742e-05)
36 21 (-2.26644e-06,7.68932e-05)
36 22 (4.92452e-05,7.19567e-05)
36 23 (-8.49123e-05,3.99283e-05)
36 24 (-0.000171225,-0.000288664)
36 25 (-7.58182e-05,0.000104866)
36 26 (-7.80608e-05,7.34121e-05)
36 27 (-0.000190871,8.34959e-05)
36 28 (8.64762e-05,8.56286e-05)
36 29 (2.31585e-05,6.79953e-05)
36 30 (-3.59121e-05,0.000263791)
36 31 (-3.654e-05,2.6173e-06)
36 32 (-2.3352e-05,2.63981e-05)
36 33 (6.37875e-05,-4.4569e-05)
36 34 (-3.56138e-05,-1.6855e-05)
36 35 (-4.45833e-05,2.40777e-05)
36 36 (5.64611e-05,-0.000103958)
38 0 (-0.0189899,0)
38 1 (0.000177294,0.000825145)
38 2 (0.0005047,-7.58972e-05)
38 3 (-0.000267827,0.00146507)
38 4 (0.000527488,-2.27055e-05)
38 5 (0.00023753,-0.000459595)
38 6 (0.00122973,0.000334523)
38 7 (6.04363e-05,-0.000347321)
38 8 (0.000271649,0.000271639)
38 9 (-0.000428156,0.00111086)
38 10 (0.000439245,1.19407e-05)
38 11 (0.000232929,-0.00033894)
38 12 (0.000642349,7.89888e-05)
38 13 (-0.00011045,-0.000265097)
38 14 (-0.000268116,-0.000355568)
38 15 (0.000743167,-0.000706177)
38 16 (-0.000274447,-8.36444e-05)
38 17 (0.000155112,3.15516e-05)
38 18 (0.000276729,0.000264631)
38 19 (-1.12503e-05,-0.000117085)
38 20 (-2.9549e-05,-0.000213317)
38 21 (0.000662513,-0.000427398)
38 22 (-0.0001422,2.35675e-07)
38 23 (-0.000165499,4.71792e-05)
38 24 (-8.65839e-05,-0.000420922)
38 25 (-0.000103553,2.4344e-05)
38 26 (1.01835e-05,-6.14328e-05)
38 27 (7.67548e-05,-9.87105e-05)
38 28 (1.93605e-05,5.80923e-07)
38 29 (1.23386e-05,2.73951e-05)
38 30 (2.84401e-05,0.000345012)
38 31 (1.41756e-06,3.74646e-06)
38 32 (-6.23215e-05,-3.36394e-05)
38 33 (0.000205527,-2.63813e-05)
38 34 (1.97324e-05,-2.21785e-05)
38 35 (-5.75585e-05,3.4051e-06)
38 36 (0.000152041,-0.000248724)
38 37 (-2.2389e-05,7.62233e-07)
38 38 (2.62189e-06,-2.59948e-05)
40 0 (0.0104269,0)
40 1 (-7.97171e-06,0.000751398)
40 2 (9.94954e-05,0.000152265)
40 3 (1.94057e-05,7.41374e-05)
40 4 (1.85298e-06,-7.09473e-05)
40 5 (2.51671e-05,-5.65428e-05)
40 6 (0.00013839,0.000166817)
40 7 (8.18703e-05,-6.85962e-05)
40 8 (0.000150975,0.000207769)
40 9 (-0.000353135,0.000589083)
40 10 (0.00022777,2.15396e-05)
40 11 (0.00011896,-0.000156299)
40 12 (0.000192572,7.51364e-05)
40 13 (-5.57062e-05,-6.93602e-05)
40 14 (-1.33837e-05,-0.000128496)
40 15 (0.000219524,6.67212e-05)
40 16 (4.09688e-05,-0.000114526)
40 17 (0.000343303,-0.000134636)
40 18 (0.000486629,0.000634799)
40 19 (0.000154418,-0.000194686)
40 20 (1.26581e-05,-5.36462e-05)
40 21 (0.00012416,0.000127409)
40 22 (3.92186e-05,-0.000107858)
40 23 (-6.38117e-05,-3.44502e-05)
40 24 (1.58122e-05,-0.000274975)
40 25 (-8.67875e-06,2.72961e-05)
40 26 (8.10034e-05,-6.01423e-05)
40 27 (-4.5927e-05,-7.30955e-05)
40 28 (-2.28726e-05,1.04296e-05)
40 29 (1.07413e-05,5.00599e-05)
40 30 (-4.10884e-05,0.000258381)
40 31 (2.96803e-05,7.7545e-05)
40 32 (-2.40781e-05,4.40589e-05)
40 33 (-0.000130577,-6.5892e-05)
40 34 (8.78948e-06,1.22704e-05)
40 35 (1.89904e-05,1.23021e-05)
40 36 (3.88456e-05,-9.10429e-05)
40 37 (9.53445e-06,-3.83857e-05)
40 38 (1.32249e-05,4.1081e-06)
40 39 (-3.55796e-05,-5.86693e-05)
40 40 (-4.83428e-06,-1.08131e-06)
42 0 (-0.0119653,0)
42 1 (-0.000559133,-0.000896046)
42 2 (2.40161e-05,-8.03821e-06)
42 3 (-3.71602e-05,0.000167687)
42 4 (9.31688e-07,-3.73506e-05)
42 5 (0.000201942,-4.42157e-06)
42 6 (0.000354049,4.15545e-05)
42 7 (5.27839e-06,-0.000120584)
42 8 (-0.000236871,-0.000152087)
42 9 (0.000278816,-0.000648882)
42 10 (-0.000280392,9.88702e-05)
42 11 (-0.000383903,0.000275738)
42 12 (-0.000970085,-0.000853628)
42 13 (-0.00016115,0.000409587)
42 14 (0.000345376,0.000220285)
42 15 (-0.00032518,0.000613861)
42 16 (0.000193858,-2.38453e-05)
42 17 (0.000167358,-7.34834e-05)
42 18 (0.000110481,0.000310988)
42 19 (2.94714e-05,-1.3475e-06)
42 20 (3.03509e-05,4.3322e-06)
42 21 (0.0001096,8.5236e-05)
42 22 (-6.04585e-05,-2.33682e-05)
42 23 (2.10608e-05,-3.04154e-06)
42 24 (0.000131177,-7.12408e-05)
42 25 (-4.31569e-05,-5.0964e-06)
42 26 (5.83784e-05,4.24186e-06)
42 27 (-8.64487e-05,5.30141e-05)
42 28 (-4.29415e-05,4.88391e-06)
42 29 (-2.74388e-05,-9.85886e-06)
42 30 (-9.50584e-05,-0.000100151)
42 31 (-8.64648e-05,7.22368e-05)
42 32 (-3.01523e-05,8.73578e-05)
42 33 (-0.00011425,-7.58591e-05)
42 34 (-2.2005e-05,1.91867e-06)
42 35 (1.4235e-05,3.69045e-05)
42 36 (-9.92176e-06,-5.92395e-06)
42 37 (7.99591e-05,-9.7689e-06)
42 38 (-6.42295e-06,2.46674e-05)
42 39 (1.89271e-05,-3.56845e-05)
42 40 (-1.11487e-05,1.05697e-05)
42 41 (-2.49469e-05,-1.17594e-05)
42 42 (4.95678e-06,-6.49811e-06)
44 0 (0.00784575,0)
44 1 (0.000297705,0.000285558)
44 2 (6.9649e-05,8.90217e-05)
44 3 (0.000128824,0.000234887)
44 4 (5.07722e-05,-5.1433e-05)
44 5 (3.81447e-05,-0.000376536)
44 6 (0.000272595,5.01634e-06)
44 7 (-1.37625e-05,-0.000123777)
44 8 (9.75262e-05,8.51847e-05)
44 9 (0.000115076,0.000244191)
44 10 (-9.15599e-06,5.80028e-05)
44 11 (-0.000203591,9.06089e-05)
44 12 (-0.000285126,-0.000253605)
44 13 (-0.000141148,0.000196177)
44 14 (6.16943e-06,-0.000125887)
44 15 (9.46864e-05,5.9889e-07)
44 16 (-3.96905e-05,-1.67072e-05)
44 17 (-0.000159965,0.000115384)
44 18 (-0.000180082,-0.000114124)
44 19 (-0.000137027,0.000105603)
44 20 (-0.000106341,-0.000151673)
44 21 (0.000288952,-0.000108971)
44 22 (-8.81916e-05,-5.87378e-05)
44 23 (-4.5788e-05,-1.47983e-06)
44 24 (0.000140782,-0.000120953)
44 25 (-4.32636e-05,-2.2126e-05)
44 26 (-2.91381e-05,-5.2082e-05)
44 27 (0.000187393,-7.25187e-05)
44 28 (-5.02149e-05,-6.81086e-06)
44 29 (-4.81632e-05,-3.50738e-05)
44 30 (2.18103e-05,-0.000109008)
44 31 (-0.000103897,1.16608e-05)
44 32 (-5.65793e-05,8.84645e-06)
44 33 (0.000126853,-4.43535e-05)
44 34 (-3.28135e-05,-6.76212e-05)
44 35 (7.9488e-06,3.39981e-05)
44 36 (7.49012e-05,2.12108e-06)
44 37 (2.34816e-05,7.49962e-06)
44 38 (-3.11555e-05,-3.76173e-05)
