#Expanded function
#Calculated using Holo_Multipol
#Intensity    Theta angle    Phi angle
0.392484 0 0
0.275031 114.592 0
0.290322 114.592 3437.75
0.309376 114.592 6875.49
0.291027 114.592 10313.2
0.314633 114.592 13751
0.269586 114.592 17188.7
0.345795 229.183 0
0.381731 229.183 1718.87
0.37119 229.183 3437.75
0.342744 229.183 5156.62
0.35219 229.183 6875.49
0.387489 229.183 8594.37
0.379397 229.183 10313.2
0.326892 229.183 12032.1
0.358546 229.183 13751
0.382612 229.183 15469.9
0.347842 229.183 17188.7
0.381773 229.183 18907.6
0.403806 343.775 0
0.414394 343.775 1145.92
0.450674 343.775 2291.83
0.411097 343.775 3437.75
0.457035 343.775 4583.66
0.38959 343.775 5729.58
0.463342 343.775 6875.49
0.429349 343.775 8021.41
0.428339 343.775 9167.33
0.404545 343.775 10313.2
0.384883 343.775 11459.2
0.414777 343.775 12605.1
0.416836 343.775 13751
0.460441 343.775 14896.9
0.412039 343.775 16042.8
0.454572 343.775 17188.7
0.391584 343.775 18334.7
0.454506 343.775 19480.6
0.115098 458.366 0
0.144109 458.366 825.059
0.13622 458.366 1650.12
0.10499 458.366 2475.18
0.133751 458.366 3300.24
0.13542 458.366 4125.3
0.110483 458.366 4950.36
0.113712 458.366 5775.41
0.149244 458.366 6600.47
0.128341 458.366 7425.53
0.106647 458.366 8250.59
0.141046 458.366 9075.65
0.138582 458.366 9900.71
0.102319 458.366 10725.8
0.120893 458.366 11550.8
0.145865 458.366 12375.9
0.127793 458.366 13200.9
0.107793 458.366 14026
0.142932 458.366 14851.1
0.140864 458.366 15676.1
0.104698 458.366 16501.2
0.126832 458.366 17326.2
0.140612 458.366 18151.3
0.115694 458.366 18976.4
0.115851 458.366 19801.4
0.381363 572.958 0
0.380845 572.958 665.37
0.409662 572.958 1330.74
0.412081 572.958 1996.11
0.424075 572.958 2661.48
0.406416 572.958 3326.85
0.434018 572.958 3992.22
0.41472 572.958 4657.59
0.412654 572.958 5322.96
0.388211 572.958 5988.33
0.378097 572.958 6653.7
0.373613 572.958 7319.07
0.374697 572.958 7984.44
0.404301 572.958 8649.81
0.418522 572.958 9315.18
0.446629 572.958 9980.55
0.437274 572.958 10645.9
0.43831 572.958 11311.3
0.393129 572.958 11976.7
0.39918 572.958 12642
0.381305 572.958 13307.4
0.375903 572.958 13972.8
0.38017 572.958 14638.1
0.379815 572.958 15303.5
0.387611 572.958 15968.9
0.38961 572.958 16634.3
0.440448 572.958 17299.6
0.439873 572.958 17965
0.457958 572.958 18630.4
0.432356 572.958 19295.7
0.403972 572.958 19961.1
0.369865 687.549 0
0.432068 687.549 557.472
0.434444 687.549 1114.94
0.370037 687.549 1672.42
0.403422 687.549 2229.89
0.409258 687.549 2787.36
0.401495 687.549 3344.83
0.372946 687.549 3902.31
0.433485 687.549 4459.78
0.414901 687.549 5017.25
0.369293 687.549 5574.72
0.395578 687.549 6132.2
0.440804 687.549 6689.67
0.388617 687.549 7247.14
0.37002 687.549 7804.61
0.449407 687.549 8362.09
0.383951 687.549 8919.56
0.367021 687.549 9477.03
0.396676 687.549 10034.5
